"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
2810,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,702,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82d100","0x14806a8d8b00",1918508667382049,1918508667396348,1918508669527711,1918508669576022,2131363
2811,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1405,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82d000","0x14806a8d8b40",1918508670426713,1918508670755553,1918508673790599,1918508673821261,3035046
2812,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,703,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82d000","0x14806a8d8b00",1918508674022249,1918508674035399,1918508676166123,1918508676198086,2130724
2813,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1407,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82d080","0x14806a8d8b40",1918508677233163,1918508677559085,1918508680579091,1918508680631209,3020006
2814,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,703,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82d080","0x14806a8d8b00",1918508680904256,1918508680921171,1918508683060215,1918508683092327,2139044
2815,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1407,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cf00","0x14806a8d8b40",1918508684079902,1918508684406618,1918508687458463,1918508687513637,3051845
2816,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,704,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cf00","0x14806a8d8b00",1918508687774330,1918508687790304,1918508689921507,1918508689950168,2131203
2817,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1409,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82ce80","0x14806a8d8b40",1918508690784598,1918508691115749,1918508694137515,1918508694184937,3021766
2818,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,704,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82ce80","0x14806a8d8b00",1918508694412867,1918508694428235,1918508696565039,1918508696617610,2136804
2819,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1409,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cf80","0x14806a8d8b40",1918508697698055,1918508698025842,1918508701024087,1918508701072305,2998245
2820,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,705,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cf80","0x14806a8d8b00",1918508701321646,1918508701339448,1918508703466171,1918508703522031,2126723
2821,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1411,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cd80","0x14806a8d8b40",1918508704590241,1918508704917054,1918508707875139,1918508707921318,2958085
2822,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,705,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cd80","0x14806a8d8b00",1918508708171521,1918508708186660,1918508710301383,1918508710330416,2114723
2823,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1411,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cd00","0x14806a8d8b40",1918508711337759,1918508711665866,1918508714654831,1918508714700547,2988965
2824,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,706,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cd00","0x14806a8d8b00",1918508714952322,1918508714968432,1918508717104275,1918508717135774,2135843
2825,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1413,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82ce00","0x14806a8d8b40",1918508717975495,1918508718306198,1918508721280443,1918508721327662,2974245
2826,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,706,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82ce00","0x14806a8d8b00",1918508721558948,1918508721570363,1918508723691647,1918508723740286,2121284
2827,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1413,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cc80","0x14806a8d8b40",1918508724835599,1918508725164391,1918508728184396,1918508728234768,3020005
2828,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,707,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cc80","0x14806a8d8b00",1918508728489589,1918508728505196,1918508730663280,1918508730711205,2158084
2829,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1415,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cb80","0x14806a8d8b40",1918508731793242,1918508732124882,1918508735116728,1918508735167211,2991846
2830,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,707,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cb80","0x14806a8d8b00",1918508735419758,1918508735435448,1918508737594172,1918508737626526,2158724
2831,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1415,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cc00","0x14806a8d8b40",1918508738455135,1918508738784094,1918508741831300,1918508741878850,3047206
2832,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,708,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cc00","0x14806a8d8b00",1918508742085048,1918508742098820,1918508744215944,1918508744246938,2117124
2833,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1417,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82cb00","0x14806a8d8b40",1918508745270122,1918508745596906,1918508748596912,1918508748649212,3000006
2834,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,708,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82cb00","0x14806a8d8b00",1918508748907580,1918508748921872,1918508751067956,1918508751099629,2146084
2835,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1417,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82ca00","0x14806a8d8b40",1918508751944569,1918508752271958,1918508755249884,1918508755297156,2977926
2836,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,709,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82ca00","0x14806a8d8b00",1918508755543291,1918508755559004,1918508757692128,1918508757721724,2133124
2837,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1419,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82ca80","0x14806a8d8b40",1918508758546796,1918508758874370,1918508761833415,1918508761889475,2959045
2838,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,709,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82ca80","0x14806a8d8b00",1918508762100322,1918508762114056,1918508764234220,1918508764264767,2120164
2839,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1419,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82c980","0x14806a8d8b40",1918508765271770,1918508765598542,1918508768623347,1918508768669826,3024805
2840,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,710,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82c980","0x14806a8d8b00",1918508768928405,1918508768945268,1918508771106392,1918508771155271,2161124
2841,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1421,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82c880","0x14806a8d8b40",1918508772199716,1918508772526714,1918508775542240,1918508775596078,3015526
2842,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,710,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82c880","0x14806a8d8b00",1918508775858394,1918508775874560,1918508777976804,1918508778009294,2102244
2843,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1421,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82c800","0x14806a8d8b40",1918508778837572,1918508779166086,1918508782161291,1918508782190240,2995205
2844,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,711,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82c800","0x14806a8d8b00",1918508782393662,1918508782405292,1918508784552336,1918508784606100,2147044
2845,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1423,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82c900","0x14806a8d8b40",1918508785693288,1918508786021138,1918508789003384,1918508789050525,2982246
